,RecordID,ZipCode,City,County,State,Latitude,Longitude,TotalPopulation,MedianHomeValue,AverageMedianHomeValue,Total,Region,Coordinates,DominantDemographic,DominantDemographicPercentage
0,1,90620,BUENA PARK,ORANGE,CA,33.8425,-118.0124,47104,806000.0,881000.0,881000.0,West,"(33.8425, -118.0124)",White,39.7
1,2,90621,BUENA PARK,ORANGE,CA,33.8706,-117.9963,36385,819000.0,881000.0,881000.0,West,"(33.8706, -117.9963)",White,39.7
2,3,90623,BUENA PARK,ORANGE,CA,33.8502,-118.0399,15703,1018000.0,881000.0,881000.0,West,"(33.8502, -118.0399)",White,39.7
3,4,90623,LA PALMA,ORANGE,CA,33.8502,-118.0399,15703,1018000.0,881000.0,881000.0,West,"(33.8502, -118.0399)",White,39.7
4,5,90630,CYPRESS,ORANGE,CA,33.8215,-118.04,50543,936000.0,1209000.0,1209000.0,West,"(33.8215, -118.04)",White,52.1
5,6,90631,LA HABRA,ORANGE,CA,33.9314,-117.9524,69601,831000.0,881000.0,881000.0,Northern,"(33.9314, -117.9524)",White,39.7
6,7,90631,LA HABRA HEIGHTS,ORANGE,CA,33.9314,-117.9524,69601,831000.0,881000.0,881000.0,Northern,"(33.9314, -117.9524)",White,39.7
7,8,90631,LA HABRA HTS,ORANGE,CA,33.9314,-117.9524,69601,831000.0,881000.0,881000.0,Northern,"(33.9314, -117.9524)",White,39.7
8,9,90680,STANTON,ORANGE,CA,33.8011,-117.9952,30500,681500.0,681500.0,681500.0,West,"(33.8011, -117.9952)",Hispanic,49.6
9,10,90720,CYPRESS,ORANGE,CA,33.7989,-118.0686,23660,1482000.0,1209000.0,1209000.0,West,"(33.7989, -118.0686)",White,52.1
10,11,90720,LOS ALAMITOS,ORANGE,CA,33.7989,-118.0686,23660,1482000.0,1209000.0,1209000.0,West,"(33.7989, -118.0686)",White,52.1
11,12,90720,ROSSMOOR,ORANGE,CA,33.7989,-118.0686,23660,1482000.0,1209000.0,1209000.0,West,"(33.7989, -118.0686)",White,52.1
12,13,90740,SEAL BEACH,ORANGE,CA,33.7613,-118.0875,24721,1532000.0,1532000.0,1532000.0,West,"(33.7613, -118.0875)",White,76.4
13,14,90742,SUNSET BEACH,ORANGE,CA,33.7167,-118.069,470,2239000.0,2239000.0,2239000.0,West,"(33.7167, -118.069)",White,85.7
14,15,90743,SURFSIDE,ORANGE,CA,33.7285,-118.0842,487,1959000.0,1959000.0,1959000.0,West,"(33.7285, -118.0842)",White,85.2
15,16,92602,IRVINE,ORANGE,CA,33.7261,-117.7757,27425,1815000.0,2239000.0,2239000.0,Central,"(33.7261, -117.7757)",White,85.7
16,17,92603,IRVINE,ORANGE,CA,33.6387,-117.804,19128,2164000.0,1383111.111111111,1383111.111111111,Central,"(33.6387, -117.804)",White,43.0
17,18,92604,IRVINE,ORANGE,CA,33.6879,-117.7893,29983,1271000.0,1383111.111111111,1383111.111111111,Central,"(33.6879, -117.7893)",White,43.0
18,19,92606,IRVINE,ORANGE,CA,33.6963,-117.8147,25126,1350500.0,1383111.111111111,1383111.111111111,Central,"(33.6963, -117.8147)",White,43.0
19,20,92610,EL TORO,ORANGE,CA,33.6827,-117.6633,12524,1152000.0,1383111.111111111,1383111.111111111,Southern,"(33.6827, -117.6633)",White,43.0
20,21,92610,FOOTHILL RANCH,ORANGE,CA,33.6827,-117.6633,12524,1152000.0,1383111.111111111,1383111.111111111,Southern,"(33.6827, -117.6633)",White,43.0
21,22,92610,LAKE FOREST,ORANGE,CA,33.6827,-117.6633,12524,1152000.0,1383111.111111111,1383111.111111111,Southern,"(33.6827, -117.6633)",White,43.0
22,23,92612,IRVINE,ORANGE,CA,33.6672,-117.8426,34640,1095000.0,1383111.111111111,1383111.111111111,Central,"(33.6672, -117.8426)",White,43.0
23,24,92614,IRVINE,ORANGE,CA,33.6834,-117.8411,29307,1145500.0,1383111.111111111,1383111.111111111,Central,"(33.6834, -117.8411)",White,43.0
24,25,92617,IRVINE,ORANGE,CA,33.6432,-117.8379,17960,765000.0,1383111.111111111,1383111.111111111,Central,"(33.6432, -117.8379)",White,43.0
25,26,92618,IRVINE,ORANGE,CA,33.6621,-117.7483,54368,1342000.0,1383111.111111111,1383111.111111111,Central,"(33.6621, -117.7483)",White,43.0
26,27,92620,IRVINE,ORANGE,CA,33.7061,-117.758,60344,1500000.0,1383111.111111111,1383111.111111111,Central,"(33.7061, -117.758)",White,43.0
27,28,92624,CAPISTRANO BEACH,ORANGE,CA,33.4622,-117.6687,6398,1635000.0,1635000.0,1635000.0,Southern,"(33.4622, -117.6687)",White,81.5
28,29,92624,DANA POINT,ORANGE,CA,33.4622,-117.6687,6398,1635000.0,1635000.0,1635000.0,Southern,"(33.4622, -117.6687)",White,81.5
29,30,92625,CORONA DEL MAR,ORANGE,CA,33.5993,-117.8697,13102,3741000.0,3741000.0,3741000.0,Central,"(33.5993, -117.8697)",White,82.9
30,31,92626,COSTA MESA,ORANGE,CA,33.6796,-117.9038,50389,1284000.0,1098333.3333333333,1098333.3333333333,Central,"(33.6796, -117.9038)",Hispanic,52.6
